iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 31, 2015"
Inception Date,"May 15, 2000"
Shares Outstanding,"343,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","2,299,633,745.76","3.27","2,299,633,745.76","21,847,176.00","105.26","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,736,578,536.84","2.47","1,736,578,536.84","31,300,983.00","55.48","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","1,271,571,613.15","1.81","1,271,571,613.15","16,312,657.00","77.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","1,152,011,354.20","1.64","1,152,011,354.20","36,982,708.00","31.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","1,113,730,300.80","1.59","1,113,730,300.80","10,842,390.00","102.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","1,018,044,442.92","1.45","1,018,044,442.92","1,506,228.00","675.89","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","990,103,255.20","1.41","990,103,255.20","18,213,820.00","54.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","969,326,370.28","1.38","969,326,370.28","7,341,157.00","132.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","952,460,629.95","1.36","952,460,629.95","14,424,665.00","66.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Information Technology","Equity","931,147,879.44","1.33","931,147,879.44","8,896,884.00","104.66","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Information Technology","Equity","888,160,655.80","1.26","888,160,655.80","1,141,580.00","778.01","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Information Technology","Equity","883,586,750.40","1.26","883,586,750.40","1,164,330.00","758.88","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","846,564,916.44","1.20","846,564,916.44","10,660,684.00","79.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Telecommunications","Equity","829,517,637.57","1.18","829,517,637.57","24,106,877.00","34.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","780,826,536.72","1.11","780,826,536.72","24,189,174.00","32.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Telecommunications","Equity","736,934,175.88","1.05","736,934,175.88","15,944,054.00","46.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","686,693,418.84","0.98","686,693,418.84","40,801,748.00","16.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","663,440,876.28","0.94","663,440,876.28","7,374,843.00","89.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","658,899,644.40","0.94","658,899,644.40","15,337,515.00","42.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","657,050,533.50","0.94","657,050,533.50","4,968,246.00","132.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","637,035,723.35","0.91","637,035,723.35","18,491,603.00","34.45","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Consumer Discretionary","Equity","626,256,204.32","0.89","626,256,204.32","5,959,804.00","105.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","604,093,275.00","0.86","604,093,275.00","11,673,300.00","51.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","591,490,600.80","0.84","591,490,600.80","7,627,216.00","77.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","578,200,362.76","0.82","578,200,362.76","10,946,618.00","52.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","571,452,816.75","0.81","571,452,816.75","5,647,325.00","101.19","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","570,416,601.36","0.81","570,416,601.36","5,708,733.00","99.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST A CORP","Consumer Discretionary","Equity","541,817,892.99","0.77","541,817,892.99","9,601,593.00","56.43","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","540,135,515.81","0.77","540,135,515.81","19,890,831.00","27.16","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","533,700,027.62","0.76","533,700,027.62","6,070,982.00","87.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AGN","ALLERGAN","Health Care","Equity","482,624,062.50","0.69","482,624,062.50","1,544,397.00","312.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","481,299,114.10","0.69","481,299,114.10","3,497,305.00","137.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","479,825,890.11","0.68","479,825,890.11","2,955,867.00","162.33","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","458,284,996.26","0.65","458,284,996.26","12,545,442.00","36.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","449,697,358.71","0.64","449,697,358.71","6,537,249.00","68.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","447,227,662.84","0.64","447,227,662.84","7,683,004.00","58.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","439,361,166.16","0.63","439,361,166.16","3,734,794.00","117.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","425,082,251.22","0.61","425,082,251.22","3,598,123.00","118.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Consumer Staples","Equity","424,230,776.13","0.60","424,230,776.13","4,339,069.00","97.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","423,835,507.44","0.60","423,835,507.44","5,510,082.00","76.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","379,481,013.76","0.54","379,481,013.76","6,405,824.00","59.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","377,774,519.52","0.54","377,774,519.52","3,880,182.00","97.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART STORES INC","Consumer Staples","Equity","376,866,821.70","0.54","376,866,821.70","6,147,909.00","61.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CELG","CELGENE CORP","Health Care","Equity","368,695,890.48","0.52","368,695,890.48","3,078,623.00","119.76","United States","NASDAQ","USD","1.00","USD","-"
"MMM","3M CO","Industrials","Equity","363,448,826.72","0.52","363,448,826.72","2,412,698.00","150.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","356,824,841.01","0.51","356,824,841.01","2,467,839.00","144.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","349,269,607.53","0.50","349,269,607.53","5,818,251.00","60.03","United States","NASDAQ","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","344,682,807.75","0.49","344,682,807.75","4,941,689.00","69.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","330,915,875.00","0.47","330,915,875.00","5,294,654.00","62.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","322,248,072.74","0.46","322,248,072.74","3,824,449.00","84.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","312,779,742.88","0.45","312,779,742.88","3,019,984.00","103.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UTX","UNITED TECHNOLOGIES CORP","Industrials","Equity","310,548,196.40","0.44","310,548,196.40","3,232,520.00","96.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","300,386,437.36","0.43","300,386,437.36","4,847,288.00","61.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","294,408,500.94","0.42","294,408,500.94","5,889,937.00","49.98","United States","NASDAQ","USD","1.00","USD","-"
"WBA","WALGREEN BOOTS ALLIANCE","Consumer Staples","Equity","290,650,024.14","0.41","290,650,024.14","3,413,188.00","85.16","United States","NASDAQ","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","280,149,692.23","0.40","280,149,692.23","1,554,401.00","180.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","279,228,320.60","0.40","279,228,320.60","6,227,215.00","44.84","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","276,810,677.00","0.39","276,810,677.00","1,713,998.00","161.50","United States","NASDAQ","USD","1.00","USD","-"
