iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 31, 2018"
Inception Date,"May 15, 2000"
Shares Outstanding,"594,150,000.00"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","5,567,545,838.05","3.73","5,567,545,838.05","54,814,865.00","101.57","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","5,043,335,524.92","3.38","5,043,335,524.92","31,972,458.00","157.74","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","4,375,232,602.12","2.93","4,375,232,602.12","2,912,996.00","1,501.97","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","2,816,763,148.20","1.89","2,816,763,148.20","13,795,490.00","204.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","2,455,702,644.95","1.64","2,455,702,644.95","19,029,079.00","129.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","2,303,326,133.16","1.54","2,303,326,133.16","23,594,818.00","97.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","2,260,186,721.09","1.51","2,260,186,721.09","2,182,469.00","1,035.61","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","2,234,077,990.98","1.50","2,234,077,990.98","17,042,322.00","131.09","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","2,216,063,391.36","1.48","2,216,063,391.36","2,120,716.00","1,044.96","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","2,048,401,892.37","1.37","2,048,401,892.37","30,039,623.00","68.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,789,770,299.40","1.20","1,789,770,299.40","41,002,756.00","43.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","1,699,943,810.40","1.14","1,699,943,810.40","6,823,795.00","249.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,648,222,991.16","1.10","1,648,222,991.16","29,317,378.00","56.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","1,644,559,401.06","1.10","1,644,559,401.06","12,464,449.00","131.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","1,624,861,475.28","1.09","1,624,861,475.28","17,676,909.00","91.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","1,595,718,111.68","1.07","1,595,718,111.68","64,761,287.00","24.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,519,223,920.11","1.02","1,519,223,920.11","32,372,127.00","46.93","United States","NASDAQ","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","1,474,905,085.61","0.99","1,474,905,085.61","13,557,359.00","108.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","1,473,287,256.52","0.99","1,473,287,256.52","51,621,838.00","28.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","1,409,840,298.72","0.94","1,409,840,298.72","18,450,992.00","76.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","1,385,171,758.08","0.93","1,385,171,758.08","30,060,151.00","46.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","1,381,756,436.20","0.92","1,381,756,436.20","31,889,140.00","43.33","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","1,377,026,991.56","0.92","1,377,026,991.56","8,014,358.00","171.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","1,287,000,368.30","0.86","1,287,000,368.30","27,180,578.00","47.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","1,215,709,837.65","0.81","1,215,709,837.65","6,444,261.00","188.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","1,207,989,862.50","0.81","1,207,989,862.50","3,745,705.00","322.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","1,158,165,624.90","0.78","1,158,165,624.90","10,562,386.00","109.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","1,106,500,729.12","0.74","1,106,500,729.12","10,015,394.00","110.48","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,096,852,615.95","0.73","1,096,852,615.95","32,212,999.00","34.05","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","983,154,631.41","0.66","983,154,631.41","10,664,439.00","92.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","970,347,246.30","0.65","970,347,246.30","5,464,590.00","177.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","940,880,018.70","0.63","940,880,018.70","10,100,698.00","93.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","902,116,764.30","0.60","902,116,764.30","17,328,405.00","52.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","901,339,861.02","0.60","901,339,861.02","12,461,494.00","72.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","879,638,782.05","0.59","879,638,782.05","4,518,615.00","194.67","United States","NASDAQ","USD","1.00","USD","-"
"DWDP","DOWDUPONT INC","Materials","Equity","870,507,650.88","0.58","870,507,650.88","16,277,256.00","53.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","866,406,552.48","0.58","866,406,552.48","9,525,138.00","90.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","828,151,817.04","0.55","828,151,817.04","3,094,044.00","267.66","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","815,943,259.95","0.55","815,943,259.95","18,071,833.00","45.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","787,001,080.88","0.53","787,001,080.88","4,130,372.00","190.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","783,059,625.60","0.52","783,059,625.60","3,461,190.00","226.24","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","774,107,435.64","0.52","774,107,435.64","6,689,487.00","115.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","745,477,507.32","0.50","745,477,507.32","2,931,719.00","254.28","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","743,434,534.46","0.50","743,434,534.46","5,427,718.00","136.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","735,880,792.80","0.49","735,880,792.80","11,022,780.00","66.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","733,383,721.89","0.49","733,383,721.89","6,451,867.00","113.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","722,625,385.69","0.48","722,625,385.69","5,227,703.00","138.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
