iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 31, 2020"
Inception Date,"May 15, 2000"
Shares Outstanding,"636,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","15,959,299,834.44","6.68","15,959,299,834.44","120,275,076.00","132.69","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","12,655,566,994.62","5.30","12,655,566,994.62","56,899,411.00","222.42","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","10,453,240,598.34","4.38","10,453,240,598.34","3,209,538.00","3,256.93","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","4,941,712,156.12","2.07","4,941,712,156.12","18,090,907.00","273.16","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","4,027,010,294.16","1.69","4,027,010,294.16","5,706,648.00","705.67","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","3,965,277,894.40","1.66","3,965,277,894.40","2,262,460.00","1,752.64","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","3,827,721,153.36","1.60","3,827,721,153.36","2,184,922.00","1,751.88","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","3,395,839,332.15","1.42","3,395,839,332.15","14,645,445.00","231.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,118,674,342.90","1.31","3,118,674,342.90","19,816,205.00","157.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","2,914,852,757.71","1.22","2,914,852,757.71","22,938,953.00","127.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","2,791,953,712.32","1.17","2,791,953,712.32","12,764,384.00","218.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","2,596,363,809.48","1.09","2,596,363,809.48","18,660,082.00","139.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","2,503,965,313.52","1.05","2,503,965,313.52","7,140,314.00","350.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2,469,324,505.14","1.03","2,469,324,505.14","13,629,123.00","181.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","2,433,318,316.80","1.02","2,433,318,316.80","4,659,744.00","522.20","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","2,363,067,372.06","0.99","2,363,067,372.06","6,620,349.00","356.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","2,152,794,851.04","0.90","2,152,794,851.04","8,104,792.00","265.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","2,065,058,031.60","0.86","2,065,058,031.60","8,817,498.00","234.20","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,829,529,343.75","0.77","1,829,529,343.75","31,140,925.00","58.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,806,271,401.12","0.76","1,806,271,401.12","3,611,676.00","500.12","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,800,474,322.80","0.75","1,800,474,322.80","34,360,197.00","52.40","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","1,798,538,274.90","0.75","1,798,538,274.90","3,326,130.00","540.73","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","1,737,246,171.71","0.73","1,737,246,171.71","57,315,941.00","30.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","1,596,977,487.96","0.67","1,596,977,487.96","29,120,669.00","54.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","1,557,435,762.60","0.65","1,557,435,762.60","19,039,557.00","81.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","1,543,091,604.90","0.65","1,543,091,604.90","10,405,203.00","148.30","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","1,543,029,794.40","0.65","1,543,029,794.40","53,651,940.00","28.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,539,734,029.92","0.64","1,539,734,029.92","41,829,232.00","36.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,537,167,553.14","0.64","1,537,167,553.14","30,854,427.00","49.82","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","1,532,296,183.88","0.64","1,532,296,183.88","6,885,796.00","222.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","1,504,666,818.30","0.63","1,504,666,818.30","10,438,202.00","144.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","1,460,347,948.21","0.61","1,460,347,948.21","13,337,729.00","109.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","1,424,388,881.50","0.60","1,424,388,881.50","13,293,410.00","107.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","1,422,994,912.75","0.60","1,422,994,912.75","31,798,769.00","44.75","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","1,390,006,293.90","0.58","1,390,006,293.90","2,984,255.00","465.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
