iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 31, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,110,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","58,922,116,779.50","7.74","58,922,116,779.50","315,936,283.00","186.50","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","52,228,282,768.08","6.86","52,228,282,768.08","192,114,628.00","271.86","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","46,733,185,250.32","6.14","46,733,185,250.32","96,632,036.00","483.62","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","29,194,061,203.86","3.83","29,194,061,203.86","126,479,773.00","230.82","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","23,676,153,206.00","3.11","23,676,153,206.00","75,642,662.00","313.00","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","21,249,782,733.20","2.79","21,249,782,733.20","61,397,812.00","346.10","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","18,971,463,397.80","2.49","18,971,463,397.80","60,457,181.00","313.80","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","18,690,994,904.52","2.46","18,690,994,904.52","28,315,828.00","660.09","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","16,429,815,039.04","2.16","16,429,815,039.04","36,533,432.00","449.72","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","11,983,813,360.20","1.57","11,983,813,360.20","23,841,268.00","502.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","11,404,483,903.40","1.50","11,404,483,903.40","35,393,470.00","322.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","11,095,808,778.08","1.46","11,095,808,778.08","10,324,756.00","1,074.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","7,695,178,166.23","1.01","7,695,178,166.23","21,941,713.00","350.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","6,598,174,809.60","0.87","6,598,174,809.60","54,829,440.00","120.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","6,482,591,409.35","0.85","6,482,591,409.35","31,324,433.00","206.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","6,351,752,263.87","0.83","6,351,752,263.87","57,012,407.00","111.41","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","6,085,978,703.36","0.80","6,085,978,703.36","10,660,697.00","570.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","5,279,131,984.50","0.69","5,279,131,984.50","29,699,758.00","177.75","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","5,250,395,622.83","0.69","5,250,395,622.83","22,978,667.00","228.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","5,165,381,196.48","0.68","5,165,381,196.48","55,091,523.00","93.76","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","4,968,784,970.86","0.65","4,968,784,970.86","5,761,979.00","862.34","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","4,804,133,730.00","0.63","4,804,133,730.00","87,347,886.00","55.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","4,533,118,509.36","0.60","4,533,118,509.36","21,166,971.00","214.16","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","4,453,173,935.10","0.58","4,453,173,935.10","12,941,511.00","344.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","4,353,909,135.36","0.57","4,353,909,135.36","30,381,056.00","143.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","4,262,314,099.74","0.56","4,262,314,099.74","21,868,114.00","194.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","4,224,373,936.92","0.55","4,224,373,936.92","13,714,164.00","308.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","4,165,190,771.10","0.55","4,165,190,771.10","14,593,710.00","285.41","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","3,946,657,623.96","0.52","3,946,657,623.96","51,235,332.00","77.03","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","3,887,795,920.14","0.51","3,887,795,920.14","11,777,274.00","330.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","3,803,753,332.80","0.50","3,803,753,332.80","40,812,804.00","93.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","3,750,516,101.11","0.49","3,750,516,101.11","24,608,071.00","152.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","3,599,831,243.70","0.47","3,599,831,243.70","12,152,970.00","296.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","3,518,891,955.91","0.46","3,518,891,955.91","50,334,601.00","69.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","3,485,602,881.59","0.46","3,485,602,881.59","6,084,457.00","572.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","3,427,662,258.00","0.45","3,427,662,258.00","3,899,502.00","879.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","3,396,743,568.32","0.45","3,396,743,568.32","32,270,032.00","105.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","3,278,906,570.76","0.43","3,278,906,570.76","12,377,436.00","264.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","3,246,273,364.80","0.43","3,246,273,364.80","20,238,612.00","160.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
