iShares Core S&P 500 ETF
Fund Holdings as of,"Jan 02, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,111,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","59,444,499,761.85","7.82","59,444,499,761.85","314,770,981.00","188.85","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","51,872,957,946.66","6.82","51,872,957,946.66","191,406,066.00","271.01","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","45,532,573,751.08","5.99","45,532,573,751.08","96,275,582.00","472.94","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","28,542,006,787.50","3.76","28,542,006,787.50","126,013,275.00","226.50","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","23,750,869,424.70","3.12","23,750,869,424.70","75,363,698.00","315.15","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","21,264,377,039.36","2.80","21,264,377,039.36","61,171,328.00","347.62","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","18,993,055,196.36","2.50","18,993,055,196.36","60,234,223.00","315.32","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","18,348,950,657.60","2.41","18,348,950,657.60","28,211,360.00","650.41","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","15,945,181,137.42","2.10","15,945,181,137.42","36,398,706.00","438.07","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","11,801,858,903.40","1.55","11,801,858,903.40","23,753,364.00","496.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","11,477,377,154.48","1.51","11,477,377,154.48","35,262,926.00","325.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","11,113,347,854.88","1.46","11,113,347,854.88","10,286,708.00","1,080.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","7,574,322,707.92","1.00","7,574,322,707.92","21,860,779.00","346.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","6,700,029,514.20","0.88","6,700,029,514.20","54,627,228.00","122.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","6,471,164,378.25","0.85","6,471,164,378.25","31,208,895.00","207.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","6,405,011,448.84","0.84","6,405,011,448.84","56,802,159.00","112.76","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","5,981,193,504.81","0.79","5,981,193,504.81","10,621,337.00","563.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","5,249,795,393.49","0.69","5,249,795,393.49","22,893,879.00","229.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","4,994,288,873.73","0.66","4,994,288,873.73","54,888,327.00","90.99","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","4,967,011,979.16","0.65","4,967,011,979.16","29,590,206.00","167.86","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","4,905,463,184.50","0.65","4,905,463,184.50","5,740,741.00","854.50","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","4,869,088,362.60","0.64","4,869,088,362.60","87,025,708.00","55.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","4,712,738,047.29","0.62","4,712,738,047.29","21,088,907.00","223.47","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","4,586,180,935.56","0.60","4,586,180,935.56","14,539,918.00","315.42","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","4,458,929,420.34","0.59","4,458,929,420.34","12,893,787.00","345.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","4,382,590,077.50","0.58","4,382,590,077.50","13,663,570.00","320.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","4,291,836,121.98","0.56","4,291,836,121.98","30,268,962.00","141.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","4,264,017,142.46","0.56","4,264,017,142.46","21,787,426.00","195.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","3,947,255,029.60","0.52","3,947,255,029.60","11,733,814.00","336.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","3,881,562,324.88","0.51","3,881,562,324.88","51,046,322.00","76.04","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","3,871,046,390.40","0.51","3,871,046,390.40","40,662,252.00","95.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","3,822,246,602.30","0.50","3,822,246,602.30","24,517,297.00","155.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","3,627,554,837.49","0.48","3,627,554,837.49","6,061,989.00","598.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","3,552,349,879.68","0.47","3,552,349,879.68","3,885,152.00","914.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","3,529,515,814.00","0.46","3,529,515,814.00","12,108,116.00","291.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","3,466,295,631.36","0.46","3,466,295,631.36","50,148,953.00","69.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
